baro,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,temp
968.57,0.01,0.03,-0.34,-0.00,0.00,-0.00,16.56,-7.38,-61.50,25.78
968.57,0.03,0.02,-0.38,0.00,-0.00,0.00,16.56,-7.38,-61.50,25.78
968.57,0.00,0.03,-0.37,-0.00,-0.00,0.00,16.56,-7.38,-61.50,25.78
968.57,0.01,0.02,-0.34,-0.00,-0.00,0.00,16.56,-7.38,-61.50,25.78
968.57,0.02,0.00,-0.36,0.00,-0.00,-0.00,16.56,-7.38,-61.50,25.78
968.57,0.02,0.02,-0.35,0.00,0.00,0.00,16.88,-7.38,-62.25,25.78
968.57,0.02,0.01,-0.34,0.00,0.00,-0.00,16.88,-7.38,-62.25,25.78
968.57,0.03,0.01,-0.37,0.00,0.00,-0.00,16.88,-7.38,-62.25,25.78
968.57,0.03,0.01,-0.37,0.00,0.00,0.00,16.88,-7.38,-62.25,25.78
968.57,0.01,0.02,-0.35,0.00,-0.00,-0.00,16.88,-7.38,-62.25,25.78
968.57,0.03,0.04,-0.32,0.00,0.00,0.00,16.88,-7.38,-62.25,25.78
968.57,0.01,0.03,-0.37,-0.00,0.00,0.00,16.56,-7.38,-60.75,25.78
968.57,-0.01,0.02,-0.36,0.00,-0.00,-0.00,16.56,-7.38,-60.75,25.78
968.57,0.00,0.01,-0.35,0.00,0.00,0.00,16.56,-7.38,-60.75,25.78
968.57,0.00,0.00,-0.37,0.00,0.00,0.00,16.56,-7.38,-60.75,25.78
968.57,0.01,0.00,-0.37,0.00,0.00,0.00,16.56,-7.38,-60.75,25.78
968.57,0.01,0.02,-0.36,0.00,0.00,0.00,16.56,-7.75,-61.50,25.78
968.57,0.02,0.00,-0.32,-0.00,0.00,0.00,16.56,-7.75,-61.50,25.78
968.57,0.01,0.01,-0.37,0.00,0.00,0.00,16.56,-7.75,-61.50,25.78
968.57,0.00,0.02,-0.39,-0.00,0.00,0.00,16.56,-7.75,-61.50,25.78
968.57,0.02,0.01,-0.34,0.00,-0.00,0.00,16.56,-7.75,-61.50,25.78
968.57,0.01,0.02,-0.39,0.00,0.00,0.00,16.56,-6.56,-61.88,25.78
968.57,0.01,0.01,-0.35,0.00,0.00,0.00,16.56,-6.56,-61.88,25.78
968.57,0.00,0.02,-0.39,-0.00,-0.00,0.00,16.56,-6.56,-61.88,25.78
968.57,0.00,0.00,-0.35,0.00,0.00,0.00,16.56,-6.56,-61.88,25.78
968.57,0.03,0.03,-0.34,0.00,0.00,0.00,16.56,-6.56,-61.88,25.78
968.57,0.00,0.02,-0.36,0.00,-0.00,0.00,16.56,-7.00,-61.06,25.78
968.57,0.00,0.02,-0.34,-0.00,-0.00,0.00,16.56,-7.00,-61.06,25.78
968.57,0.00,0.02,-0.33,-0.00,-0.00,0.00,16.56,-7.00,-61.06,25.78
968.57,0.00,0.03,-0.38,0.00,0.00,0.00,16.56,-7.00,-61.06,25.78
968.57,0.02,0.01,-0.37,-0.00,0.00,-0.00,16.56,-7.00,-61.06,25.78
968.57,0.03,0.01,-0.34,0.00,0.01,0.00,16.56,-7.38,-61.50,25.78
968.57,0.00,0.00,-0.34,0.00,0.00,0.00,16.56,-7.38,-61.50,25.78
968.57,0.01,0.00,-0.38,0.00,0.00,-0.00,16.56,-7.38,-61.50,25.78
968.57,0.00,0.03,-0.35,0.00,0.00,0.00,16.56,-7.38,-61.50,25.78
968.57,0.01,0.00,-0.36,-0.00,-0.00,0.00,16.56,-7.38,-61.50,25.78
968.57,0.02,0.02,-0.38,-0.00,0.00,-0.00,16.56,-6.56,-61.50,25.78
968.57,0.00,0.00,-0.35,0.00,0.00,0.00,16.56,-6.56,-61.50,25.78
968.57,0.02,0.02,-0.39,-0.00,0.00,0.00,16.56,-6.56,-61.50,25.78
968.57,0.01,0.00,-0.38,-0.00,0.00,0.00,16.56,-6.56,-61.50,25.78
968.57,0.01,0.00,-0.38,-0.00,0.00,-0.00,16.56,-6.56,-61.50,25.78
968.57,0.00,0.03,-0.34,0.00,0.00,0.00,16.56,-6.56,-61.50,25.78
968.57,0.03,0.01,-0.37,-0.00,0.00,0.00,17.56,-5.88,-61.88,25.78
968.57,0.00,0.04,-0.37,0.00,0.00,-0.00,17.56,-5.88,-61.88,25.78
968.57,0.00,0.01,-0.36,0.00,0.00,-0.00,17.56,-5.88,-61.88,25.78
968.57,0.01,0.03,-0.37,0.00,0.00,0.00,17.56,-5.88,-61.88,25.78
968.57,0.01,0.01,-0.37,0.00,-0.00,0.00,17.56,-5.88,-61.88,25.78
968.57,0.01,0.00,-0.35,0.00,-0.00,0.00,16.19,-8.06,-61.06,25.78
968.57,0.00,0.01,-0.34,0.00,-0.00,0.00,16.19,-8.06,-61.06,25.78
968.57,0.01,0.01,-0.39,0.00,-0.00,0.00,16.19,-8.06,-61.06,25.78
968.57,0.01,0.02,-0.35,0.00,-0.00,0.00,16.19,-8.06,-61.06,25.78
968.57,-0.01,0.01,-0.38,-0.00,-0.00,0.00,16.19,-8.06,-61.06,25.78
968.57,0.01,0.02,-0.35,0.00,0.00,0.00,16.56,-7.38,-60.00,25.78
968.57,0.01,0.02,-0.34,-0.00,0.00,0.00,16.56,-7.38,-60.00,25.78
968.57,0.03,0.00,-0.34,0.00,-0.00,0.00,16.56,-7.38,-60.00,25.78
968.57,0.02,0.00,-0.35,0.00,0.00,0.00,16.56,-7.38,-60.00,25.78
968.57,0.01,0.01,-0.35,-0.00,0.00,0.00,16.56,-7.38,-60.00,25.78
968.57,0.03,0.00,-0.38,0.00,-0.00,0.00,17.25,-7.38,-61.06,25.78
968.57,0.00,0.00,-0.36,-0.00,0.00,0.00,17.25,-7.38,-61.06,25.78
968.57,0.00,0.02,-0.35,0.00,-0.00,-0.00,17.25,-7.38,-61.06,25.78
968.57,0.03,0.03,-0.39,0.00,0.00,0.00,17.25,-7.38,-61.06,25.78
968.57,0.01,0.00,-0.34,0.00,0.00,0.00,17.25,-7.38,-61.06,25.78
968.57,0.00,0.03,-0.35,-0.00,0.00,0.00,16.56,-7.00,-60.75,25.78
968.57,0.01,0.02,-0.34,0.00,0.00,0.00,16.56,-7.00,-60.75,25.78
968.57,0.02,0.02,-0.37,0.00,0.00,0.00,16.56,-7.00,-60.75,25.78
968.57,0.01,0.02,-0.36,-0.00,-0.00,0.00,16.56,-7.00,-60.75,25.78
968.57,0.02,0.00,-0.36,0.00,0.01,0.00,16.56,-7.00,-60.75,25.78
968.57,0.00,0.02,-0.34,-0.00,0.00,0.00,16.88,-7.00,-61.88,25.78
968.57,0.01,0.00,-0.39,-0.00,-0.00,-0.00,16.88,-7.00,-61.88,25.78
968.57,0.02,0.01,-0.34,0.00,-0.00,0.00,16.88,-7.00,-61.88,25.78
968.57,0.02,0.01,-0.36,-0.00,0.00,0.00,16.88,-7.00,-61.88,25.78
968.57,0.00,0.02,-0.36,0.00,0.00,-0.00,16.88,-7.00,-61.88,25.78
968.57,0.00,0.02,-0.34,0.00,0.00,0.00,15.75,-7.00,-61.88,25.78
968.57,0.02,0.01,-0.34,-0.00,0.00,-0.00,15.75,-7.00,-61.88,25.78
968.57,0.00,0.00,-0.36,-0.00,0.00,-0.00,15.75,-7.00,-61.88,25.78
968.57,0.00,0.00,-0.36,0.00,0.00,-0.00,15.75,-7.00,-61.88,25.78
968.57,0.01,0.00,-0.37,0.00,-0.00,0.00,15.75,-7.00,-61.88,25.78
968.57,0.01,0.01,-0.36,0.00,0.00,-0.00,15.75,-7.00,-61.88,25.78
968.57,0.03,0.00,-0.37,-0.00,0.00,-0.00,16.19,-7.38,-60.75,25.78
968.57,0.02,0.02,-0.36,0.00,-0.00,-0.00,16.19,-7.38,-60.75,25.78
968.57,0.01,0.03,-0.36,-0.00,0.00,0.00,16.19,-7.38,-60.75,25.78
968.57,0.00,0.00,-0.37,0.00,0.00,0.00,16.19,-7.38,-60.75,25.78
968.57,0.00,0.02,-0.34,0.00,0.00,0.00,16.19,-7.38,-60.75,25.78
968.57,0.00,0.03,-0.32,0.00,0.00,0.00,16.88,-7.75,-61.56,25.78
968.57,0.03,0.02,-0.35,0.00,0.00,0.00,16.88,-7.75,-61.56,25.78
968.57,0.02,0.01,-0.36,0.00,0.00,-0.00,16.88,-7.75,-61.56,25.78
968.57,0.00,0.03,-0.38,0.00,0.00,0.00,16.88,-7.75,-61.56,25.78
968.57,0.00,0.01,-0.37,0.00,0.00,-0.00,16.88,-7.75,-61.56,25.78
968.57,0.00,0.01,-0.35,0.00,0.00,0.00,16.56,-6.56,-60.75,25.78
968.57,0.00,0.01,-0.36,-0.00,-0.00,0.00,16.56,-6.56,-60.75,25.78
968.57,0.01,0.03,-0.35,0.00,0.00,-0.00,16.56,-6.56,-60.75,25.78
968.57,0.01,0.03,-0.35,0.00,0.00,-0.00,16.56,-6.56,-60.75,25.78
968.57,0.00,0.02,-0.36,0.00,-0.00,0.00,16.56,-6.56,-60.75,25.78
968.57,0.03,0.02,-0.33,0.00,-0.00,0.00,16.56,-7.75,-61.06,25.78
968.57,0.02,0.02,-0.35,0.00,-0.00,0.00,16.56,-7.75,-61.06,25.78
968.57,0.01,0.01,-0.34,-0.00,0.00,0.00,16.56,-7.75,-61.06,25.78
968.57,0.01,0.05,-0.38,0.00,0.00,0.00,16.56,-7.75,-61.06,25.78
968.57,0.01,0.02,-0.33,0.00,0.00,-0.00,16.56,-7.75,-61.06,25.78
968.57,-0.01,0.01,-0.38,-0.00,0.00,0.00,15.75,-7.75,-60.75,25.78
968.57,0.00,0.01,-0.34,-0.00,0.01,-0.00,15.75,-7.75,-60.75,25.78
968.57,0.02,0.02,-0.37,0.00,0.00,-0.00,15.75,-7.75,-60.75,25.78
968.57,0.02,0.02,-0.38,-0.00,0.00,-0.00,15.75,-7.75,-60.75,25.78
968.57,0.00,0.02,-0.34,-0.00,0.00,-0.00,15.75,-7.75,-60.75,25.78
968.57,0.00,0.04,-0.31,0.00,-0.00,0.00,17.25,-7.75,-60.75,25.78
968.57,0.00,0.01,-0.35,-0.00,-0.00,-0.00,17.25,-7.75,-60.75,25.78
968.57,0.02,0.04,-0.35,0.00,0.00,-0.00,17.25,-7.75,-60.75,25.78
968.57,0.01,0.01,-0.33,0.00,0.00,-0.00,17.25,-7.75,-60.75,25.78
968.57,0.01,0.01,-0.33,0.00,-0.00,0.00,17.25,-7.75,-60.75,25.78
968.57,0.00,0.02,-0.37,-0.00,-0.00,0.00,17.25,-7.75,-60.75,25.78
968.57,0.00,0.02,-0.39,-0.00,0.00,0.00,16.19,-7.00,-60.75,25.78
968.57,0.02,0.02,-0.37,0.00,0.00,0.00,16.19,-7.00,-60.75,25.78
968.57,0.00,0.02,-0.39,-0.00,0.00,-0.00,16.19,-7.00,-60.75,25.78
968.57,0.00,0.02,-0.37,0.00,0.00,0.00,16.19,-7.00,-60.75,25.78
968.57,0.02,0.02,-0.33,0.00,0.00,-0.00,16.19,-7.00,-60.75,25.78
968.57,0.00,0.00,-0.40,-0.00,0.00,-0.00,15.75,-6.56,-61.88,25.78
968.57,0.02,0.02,-0.33,-0.00,0.00,-0.00,15.75,-6.56,-61.88,25.78
968.57,0.01,0.04,-0.35,0.00,-0.01,0.00,15.75,-6.56,-61.88,25.78
968.57,0.02,0.00,-0.36,-0.00,0.00,0.00,15.75,-6.56,-61.88,25.78
968.57,0.01,0.03,-0.34,0.00,0.00,-0.00,15.75,-6.56,-61.88,25.78
968.57,0.01,0.01,-0.34,0.00,-0.00,0.00,16.56,-7.00,-61.06,25.78
968.57,0.01,0.01,-0.40,0.00,0.00,-0.00,16.56,-7.00,-61.06,25.78
968.57,0.00,0.01,-0.35,0.00,0.00,-0.00,16.56,-7.00,-61.06,25.78
968.57,0.02,0.00,-0.32,0.00,-0.00,0.00,16.56,-7.00,-61.06,25.78
968.57,0.01,0.02,-0.36,-0.00,0.00,-0.00,16.56,-7.00,-61.06,25.78
968.57,0.00,0.02,-0.36,0.00,0.00,0.00,17.25,-6.56,-61.88,25.78
968.57,0.00,0.01,-0.33,0.00,-0.00,0.00,17.25,-6.56,-61.88,25.78
968.57,0.03,0.00,-0.39,-0.00,-0.00,0.00,17.25,-6.56,-61.88,25.78
968.57,0.00,0.03,-0.36,0.00,0.00,0.00,17.25,-6.56,-61.88,25.78
968.58,0.00,0.02,-0.34,-0.00,0.00,0.00,17.25,-6.56,-61.88,25.78
968.58,0.00,0.02,-0.36,0.00,0.00,0.00,15.75,-6.56,-60.75,25.78
968.58,0.00,0.00,-0.31,0.00,0.00,-0.00,15.75,-6.56,-60.75,25.78
968.58,-0.01,0.00,-0.36,0.00,-0.00,0.00,15.75,-6.56,-60.75,25.78
968.58,0.02,0.00,-0.39,-0.00,0.00,-0.00,15.75,-6.56,-60.75,25.78
968.58,0.01,0.01,-0.39,0.00,0.00,0.00,15.75,-6.56,-60.75,25.78
968.58,0.00,0.02,-0.34,0.00,0.00,-0.00,16.56,-7.00,-61.56,25.78
968.58,0.01,0.01,-0.38,0.00,-0.00,0.00,16.56,-7.00,-61.56,25.78
968.58,0.02,0.00,-0.34,0.00,-0.00,0.00,16.56,-7.00,-61.56,25.78
968.58,0.02,0.04,-0.36,0.00,-0.00,0.00,16.56,-7.00,-61.56,25.78
968.58,-0.01,0.01,-0.36,0.00,-0.00,0.00,16.56,-7.00,-61.56,25.78
968.58,-0.01,0.01,-0.36,-0.00,0.00,0.00,16.56,-7.00,-61.56,25.78
968.58,0.01,0.03,-0.37,0.00,-0.00,0.00,16.19,-7.38,-61.06,25.78
968.58,0.01,0.02,-0.32,-0.00,0.00,-0.00,16.19,-7.38,-61.06,25.78
968.58,0.00,0.02,-0.41,0.00,0.00,-0.00,16.19,-7.38,-61.06,25.78
968.58,0.03,0.03,-0.32,0.00,0.00,-0.00,16.19,-7.38,-61.06,25.78
968.58,0.03,0.02,-0.33,0.00,0.00,0.00,16.19,-7.38,-61.06,25.78
968.58,0.02,0.01,-0.33,-0.00,-0.00,0.00,16.56,-7.75,-61.88,25.78
968.58,0.01,0.00,-0.36,0.00,0.00,-0.00,16.56,-7.75,-61.88,25.78
968.58,0.00,0.01,-0.39,0.00,-0.00,0.00,16.56,-7.75,-61.88,25.78
968.58,0.00,-0.02,-0.39,-0.00,-0.00,0.00,16.56,-7.75,-61.88,25.78
968.58,-0.01,0.05,-0.34,0.00,0.00,0.00,16.56,-7.75,-61.88,25.78
968.58,0.00,0.02,-0.32,-0.00,-0.00,-0.00,16.88,-7.00,-60.75,25.78
968.58,0.00,0.02,-0.38,0.00,0.00,0.00,16.88,-7.00,-60.75,25.78
968.58,0.03,0.02,-0.34,0.00,0.00,-0.00,16.88,-7.00,-60.75,25.78
968.58,0.02,0.02,-0.34,0.00,-0.00,-0.00,16.88,-7.00,-60.75,25.78
968.58,0.02,0.01,-0.35,-0.00,0.00,-0.00,16.88,-7.00,-60.75,25.78
968.58,0.03,0.03,-0.35,0.00,0.00,0.00,15.06,-6.56,-60.75,25.78
968.58,0.01,0.02,-0.34,0.00,-0.00,0.00,15.06,-6.56,-60.75,25.78
968.58,0.01,0.03,-0.38,0.00,0.00,0.00,15.06,-6.56,-60.75,25.78
968.58,0.00,0.02,-0.35,-0.00,0.00,0.00,15.06,-6.56,-60.75,25.78
968.58,0.00,0.00,-0.35,-0.00,0.00,0.00,15.06,-6.56,-60.75,25.78
968.58,0.02,0.01,-0.35,-0.00,-0.00,0.00,16.19,-7.38,-61.56,25.78
968.58,0.02,0.02,-0.37,0.00,-0.00,0.00,16.19,-7.38,-61.56,25.78
968.58,0.01,0.01,-0.34,-0.00,-0.00,0.00,16.19,-7.38,-61.56,25.78
968.58,0.00,0.01,-0.34,0.00,-0.00,-0.00,16.19,-7.38,-61.56,25.78
968.58,0.01,0.03,-0.34,0.00,0.00,0.00,16.19,-7.38,-61.56,25.78
968.58,0.02,0.01,-0.37,0.00,-0.00,0.00,16.88,-7.00,-61.88,25.78
968.58,0.01,0.02,-0.35,-0.00,0.00,-0.00,16.88,-7.00,-61.88,25.78
968.58,0.01,0.00,-0.34,-0.00,0.00,0.00,16.88,-7.00,-61.88,25.78
968.58,0.00,0.00,-0.37,0.00,0.00,0.00,16.88,-7.00,-61.88,25.78
968.58,0.01,0.01,-0.34,-0.00,-0.00,0.00,16.88,-7.00,-61.88,25.78
968.58,0.00,0.01,-0.35,0.00,0.00,0.00,16.56,-7.00,-60.00,25.78
968.58,0.01,0.01,-0.35,-0.00,-0.00,0.00,16.56,-7.00,-60.00,25.78
968.58,0.00,0.04,-0.39,0.00,0.00,0.00,16.56,-7.00,-60.00,25.78
968.58,0.01,0.01,-0.34,0.00,0.00,0.00,16.56,-7.00,-60.00,25.78
968.58,0.00,0.02,-0.36,0.00,-0.00,0.00,16.56,-7.00,-60.00,25.78
968.58,0.00,0.02,-0.36,-0.00,0.00,-0.00,16.56,-7.00,-60.00,25.78
968.58,0.00,0.01,-0.34,-0.00,0.00,-0.00,16.56,-7.00,-61.50,25.78
968.58,0.00,0.01,-0.37,0.00,0.00,0.00,16.56,-7.00,-61.50,25.78
968.58,0.02,0.00,-0.35,-0.00,0.00,-0.00,16.56,-7.00,-61.50,25.78
968.58,0.02,0.03,-0.40,0.00,0.00,0.00,16.56,-7.00,-61.50,25.78
968.58,0.01,0.02,-0.33,-0.00,0.00,0.00,16.56,-7.00,-61.50,25.78
968.58,0.01,0.00,-0.34,0.00,0.00,0.00,16.56,-7.38,-60.75,25.78
968.58,0.01,0.00,-0.36,-0.00,0.00,0.00,16.56,-7.38,-60.75,25.78
968.58,0.00,0.02,-0.40,0.00,0.00,-0.00,16.56,-7.38,-60.75,25.78
968.58,0.01,0.01,-0.36,0.00,0.00,-0.00,16.56,-7.38,-60.75,25.78
968.58,0.00,0.00,-0.36,0.00,0.00,0.00,16.56,-7.38,-60.75,25.78
