ax2,ay2,az2,gx2,gy2,gz2,mx2,my2,mz2,p2,optix,optiy,optiz
0.01,-0.02,-0.15,0.0,0.0022,0.0,-20.0625,10.375,9.875,435.8088066494937,3.3132238388061523,1.9994345903396609,0.9583593010902404
0.01,-0.06,-0.13,-0.0022,0.0,-0.0011,-20.0625,10.375,9.875,435.8088066494937,3.313269853591919,1.999376654624939,0.958397388458252
0.02,-0.06,-0.11,-0.0011,0.0011,0.0011,-19.6875,10.375,9.1875,435.8250783808367,3.313335657119751,1.9993513822555544,0.958450734615326
0.02,-0.03,-0.11,0.0011,-0.0033,-0.0011,-19.6875,10.375,9.1875,435.70575294735625,3.313377857208252,1.9993256330490112,0.9584855437278748
0.0,-0.03,-0.14,0.0,0.0022,-0.0011,-19.6875,10.375,9.1875,435.70304536082057,3.3134169578552246,1.99934184551239,0.9584923386573792
0.02,-0.03,-0.12,-0.0022,0.0033,-0.0011,-19.6875,10.375,9.1875,435.7084692127731,3.313453435897827,1.9993606805801392,0.9585033059120178
0.04,-0.04,-0.08,0.0011,0.0011,-0.0011,-18.5625,10.75,8.75,435.8779638546341,3.313497543334961,1.9992834329605105,0.9585195183753968
0.0,-0.05,-0.12,0.0011,-0.0011,0.0,-18.5625,10.75,8.75,435.6149016579056,3.3135290145874023,1.999250411987305,0.9585415720939636
0.0,-0.02,-0.13,-0.0011,-0.0022,-0.0011,-18.5625,10.75,8.75,435.883387798614,3.313570261001587,1.9992510080337524,0.9585602879524232
0.02,-0.03,-0.11,-0.0011,0.0011,0.0,-18.5625,10.75,9.1875,435.71253059498457,3.313601493835449,1.9992451667785645,0.958553433418274
0.0,0.0,-0.09,-0.0022,0.0,-0.0011,-18.5625,10.75,9.1875,435.7640616902716,3.313645362854004,1.9992542266845703,0.9585710167884828
0.0,-0.05,-0.15,0.0,0.0033,-0.0022,-18.5625,10.75,9.1875,435.7708393762298,3.3136770725250244,1.9992241859436035,0.9585808515548706
0.0,-0.06,-0.14,0.0022,0.0011,-0.0011,-18.5625,10.75,9.1875,435.8440664389974,3.313699960708618,1.9991648197174072,0.9585856199264526
0.02,-0.07,-0.16,0.0011,-0.0011,-0.0033,-19.25,10.375,9.5625,435.6854200312069,3.313746929168701,1.9992190599441528,0.9586056470870972
0.0,-0.03,-0.16,-0.0011,-0.0022,0.0,-19.25,10.375,9.5625,435.82100827602767,3.313762664794922,1.9992047548294067,0.958621859550476
0.01,-0.03,-0.09,0.0,-0.0033,0.0022,-19.25,10.375,9.5625,435.5850751172236,3.313774824142456,1.9991881847381592,0.9586219191551208
0.0,-0.02,-0.1,0.0,-0.0022,0.0,-19.25,10.0,9.1875,435.8047452293556,3.3138198852539062,1.9991918802261357,0.9586493968963624
0.0,-0.05,-0.12,0.0,0.0,0.0,-19.25,10.0,9.1875,435.8277946776869,3.313828468322754,1.9991432428359983,0.9586169719696044
0.01,-0.05,-0.15,0.0011,0.0,-0.0022,-19.25,10.0,9.1875,435.888811745442,3.313864231109619,1.999180793762207,0.9586326479911804
0.01,-0.06,-0.15,0.0011,0.0,-0.0011,-19.25,10.0,9.1875,435.76135408842254,3.3138833045959477,1.9991315603256223,0.9586319327354432
0.0,-0.04,-0.13,0.0011,-0.0044,-0.0022,-19.6875,10.75,8.75,435.8643996680288,3.3139030933380127,1.9992213249206543,0.9586289525032043
-0.01,-0.02,-0.13,0.0011,-0.0033,0.0,-19.6875,10.75,8.75,435.7505063317203,3.313915967941284,1.9992270469665527,0.9586198925971984
0.05,-0.01,-0.1,-0.0011,0.0055,0.0011,-19.6875,10.75,8.75,435.62033414157946,3.313936471939087,1.9991816282272337,0.9586499333381652
0.03,-0.02,-0.1,-0.0022,0.0065,-0.0033,-19.25,10.375,9.5625,435.6894814043425,3.313970804214477,1.9991426467895508,0.9586420059204102
-0.02,-0.08,-0.15,0.0,0.0022,-0.0011,-19.25,10.375,9.5625,435.8155930431248,3.3139514923095703,1.9991415739059448,0.958617866039276
-0.02,-0.07,-0.11,0.0033,-0.0022,0.0011,-19.25,10.375,9.5625,435.7369423128036,3.313994646072388,1.9991474151611328,0.9586254358291626
0.04,-0.02,-0.1,0.0022,-0.0033,-0.0011,-18.1875,10.0,8.75,435.8264408683064,3.313969850540161,1.9991371631622317,0.9586047530174256
0.02,-0.01,-0.1,-0.0022,0.0055,-0.0022,-18.1875,10.0,8.75,435.7166006569676,3.3139779567718506,1.999078631401062,0.9585751295089722
0.0,-0.02,-0.12,0.0,0.0,0.0,-18.1875,10.0,8.75,435.6908351957386,3.3139777183532715,1.9990756511688232,0.9585598111152648
0.0,-0.05,-0.15,0.0,-0.0011,0.0,-18.875,10.75,10.375,435.7599916095516,3.3140087127685547,1.9990050792694087,0.9585626125335692
0.02,-0.05,-0.12,0.0022,0.0,0.0,-18.875,10.75,10.375,435.7410123844232,3.314002513885498,1.99903404712677,0.958525002002716
0.04,-0.01,-0.13,0.0,-0.0022,0.0011,-18.875,10.75,10.375,435.7166006569676,3.3139965534210205,1.999016284942627,0.958518385887146
0.0,-0.02,-0.08,0.0022,-0.0055,0.0022,-18.875,10.75,10.375,435.8033827447538,3.314004421234131,1.998943567276001,0.9585124850273132
0.0,-0.04,-0.12,-0.0011,-0.0011,0.0,-19.6875,10.375,8.375,435.7966050374022,3.314020872116089,1.998990535736084,0.9584971070289612
0.01,-0.07,-0.17,-0.0022,0.0065,0.0011,-19.6875,10.375,8.375,435.76676929283377,3.31402850151062,1.9989023208618164,0.958469033241272
0.01,-0.06,-0.14,-0.0022,0.0033,0.0011,-19.6875,10.375,8.375,435.5945689209261,3.314042568206787,1.998887538909912,0.9583224058151244
0.01,-0.01,-0.11,0.0,-0.0055,0.0022,-18.875,9.5625,9.5625,435.81965446753264,3.3140411376953125,1.9988845586776731,0.9583024978637696
0.0,-0.02,-0.09,0.0011,0.0011,0.0,-18.875,9.5625,9.5625,435.6881276131186,3.3140344619750977,1.998833179473877,0.9582938551902772
0.02,-0.03,-0.11,0.0011,0.0011,0.0022,-18.875,9.5625,9.5625,435.8630458538374,3.314016819000244,1.9988062381744385,0.958284080028534
0.0,-0.07,-0.15,0.0011,0.0065,0.0,-18.875,10.75,9.875,435.7233783117286,3.31402587890625,1.9988396167755127,0.9582773447036744
0.0,-0.07,-0.14,-0.0022,0.0011,-0.0011,-18.875,10.75,9.875,435.8020289385756,3.314030885696411,1.9987388849258425,0.9582778811454772
0.01,0.0,-0.12,-0.0011,-0.0065,0.0011,-18.875,10.75,9.875,435.7193169252424,3.3140368461608887,1.998687028884888,0.958280861377716
0.02,-0.01,-0.11,0.0033,-0.0033,-0.0011,-18.5625,10.375,8.75,435.7776170666448,3.3140101432800293,1.9986897706985476,0.9582756161689758
0.01,-0.01,-0.11,0.0022,0.0033,0.0011,-18.5625,10.375,8.75,435.745073779454,3.314026117324829,1.9986921548843384,0.958270788192749
0.0,-0.04,-0.14,0.0,0.0033,-0.0011,-18.5625,10.375,8.75,435.6121940952228,3.314044713973999,1.998624444007873,0.9582760334014891
