ax2,ay2,az2,gx2,gy2,gz2,mx2,my2,mz2,p2
0.01,-0.02,-0.15,0.0,0.0022,0.0,-20.0625,10.375,9.875,435.80880664949365
0.01,-0.06,-0.13,-0.0022,0.0,-0.0011,-20.0625,10.375,9.875,435.80880664949365
0.02,-0.06,-0.11,-0.0011,0.0011,0.0011,-19.6875,10.375,9.1875,435.8250783808367
0.02,-0.03,-0.11,0.0011,-0.0033,-0.0011,-19.6875,10.375,9.1875,435.70575294735625
0.0,-0.03,-0.14,0.0,0.0022,-0.0011,-19.6875,10.375,9.1875,435.70304536082057
0.02,-0.03,-0.12,-0.0022,0.0033,-0.0011,-19.6875,10.375,9.1875,435.7084692127731
0.04,-0.04,-0.08,0.0011,0.0011,-0.0011,-18.5625,10.75,8.75,435.8779638546341
0.0,-0.05,-0.12,0.0011,-0.0011,0.0,-18.5625,10.75,8.75,435.6149016579056
0.0,-0.02,-0.13,-0.0011,-0.0022,-0.0011,-18.5625,10.75,8.75,435.88338779861397
0.02,-0.03,-0.11,-0.0011,0.0011,0.0,-18.5625,10.75,9.1875,435.71253059498457
0.0,0.0,-0.09,-0.0022,0.0,-0.0011,-18.5625,10.75,9.1875,435.76406169027155
0.0,-0.05,-0.15,0.0,0.0033,-0.0022,-18.5625,10.75,9.1875,435.7708393762298
0.0,-0.06,-0.14,0.0022,0.0011,-0.0011,-18.5625,10.75,9.1875,435.8440664389974
0.02,-0.07,-0.16,0.0011,-0.0011,-0.0033,-19.25,10.375,9.5625,435.6854200312069
0.0,-0.03,-0.16,-0.0011,-0.0022,0.0,-19.25,10.375,9.5625,435.82100827602767
0.01,-0.03,-0.09,0.0,-0.0033,0.0022,-19.25,10.375,9.5625,435.5850751172236
0.0,-0.02,-0.1,0.0,-0.0022,0.0,-19.25,10.0,9.1875,435.8047452293556
0.0,-0.05,-0.12,0.0,0.0,0.0,-19.25,10.0,9.1875,435.8277946776869
0.01,-0.05,-0.15,0.0011,0.0,-0.0022,-19.25,10.0,9.1875,435.888811745442
0.01,-0.06,-0.15,0.0011,0.0,-0.0011,-19.25,10.0,9.1875,435.76135408842254
0.0,-0.04,-0.13,0.0011,-0.0044,-0.0022,-19.6875,10.75,8.75,435.8643996680288
